molecule,peak_value,unit,rel_intensity,source
quercetin,3406,cm^-1,s,https://doi.org/10.5812/ijpr-130626
quercetin,1668,cm^-1,vs,https://doi.org/10.5812/ijpr-130626
quercetin,1608,cm^-1,vs,https://doi.org/10.5812/ijpr-130626
quercetin,1558,cm^-1,m,https://doi.org/10.5812/ijpr-130626
quercetin,1520,cm^-1,m,https://doi.org/10.5812/ijpr-130626
quercetin,1319,cm^-1,m,https://doi.org/10.5812/ijpr-130626
quercetin,1168,cm^-1,m,https://doi.org/10.5812/ijpr-130626
quercetin,863,cm^-1,w,https://doi.org/10.5812/ijpr-130626
apigenin,1652,cm^-1,vs,https://doi.org/10.1016/j.lwt.2021.112751
