molecule,peak_value,unit,rel_intensity,source
apigenin,2832.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3065.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3084.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3100.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3105.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3113.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3121.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3138.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3502.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
apigenin,3514.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,110.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,157.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,195.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,214.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,218.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,229.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,257.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,283.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,287.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,311.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,350.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,364.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,382.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,406.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,430.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,439.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,442.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,474.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,478.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,498.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,519.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,540.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,567.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,583.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,589.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,598.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,628.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,635.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,646.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,666.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,681.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,724.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,732.0,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,805.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,806.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,826.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,828.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,832.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,849.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,857.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,858.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,910.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,959.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1009.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1049.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1091.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1097.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1104.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1129.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1134.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1162.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1163.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1184.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1199.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1231.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1240.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1268.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1269.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1319.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1327.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1367.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1368.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1377.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1435.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1446.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1462.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1507.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1558.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1573.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1582.2,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1596.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1615.1,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,1636.7,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,2850.8,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3081.6,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3095.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3109.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3119.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3120.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3133.4,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3484.5,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3517.3,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
luteolin,3553.9,cm^-1,,"COMPUTED GFN2-xTB (theoretical, non-experimental)"
